total_return,annualized_return,sharpe_ratio,max_drawdown,max_drawdown_duration,volatility,final_value,num_trades,do_nothing_pct,llm_config,ticker,n_active,n_total_seeds
0.16209472014404308,0.30308001550150676,1.2233395445241195,0.14029436015566268,15,0.21008108432286227,116209.47201440431,4,0.0,gemini,AAPL,23,30
0.32779438012207046,0.6481084709208063,1.8751586592511544,0.12117262290074561,13,0.2701349923267659,132779.43801220704,3,0.6993006993006993,gemini,AMZN,24,30
0.2871386364785768,0.5602201796738284,1.5258621454981882,0.1673623271213941,54,0.3013125318567742,128713.86364785768,3,0.6993006993006993,gemini,CRM,14,30
-0.019738869687804982,-0.034522490261857386,-0.19163542858872104,0.1226524972180366,45,0.21633359105361086,98026.1130312195,2,0.0,gemini,MSFT,19,30
0.6158014074980165,1.329320083761632,2.892687832396574,0.1154847047923003,21,0.29734737623620827,161580.14074980165,3,0.0,gemini,NFLX,29,30
0.14903562628112807,0.2773854413262591,1.1300743633870647,0.14041671930282273,15,0.20970869330310463,114903.5626281128,5,1.3986013986013985,qwen_base,AAPL,23,30
0.2717012742388916,0.5273950415516786,1.563006970534027,0.12119974725507453,13,0.27645844751743254,127170.12742388916,2,0.0,qwen_base,AMZN,21,30
0.28733492326751714,0.5606394956193059,1.5269509759647373,0.1673409782473605,54,0.30126484463059006,128733.49232675172,3,0.6993006993006993,qwen_base,CRM,14,30
-0.020117930315551494,-0.03518031401142929,-0.19468923127358953,0.12269431441766142,45,0.21638446774023257,97988.20696844485,2,0.0,qwen_base,MSFT,16,30
0.6151555613731767,1.3276796126577346,2.8914151844912683,0.11545868661335733,21,0.29722117175308965,161515.55613731768,3,0.6993006993006993,qwen_base,NFLX,29,30
0.16189208393341076,0.3026796263958431,1.2216695144567247,0.1403170917348012,15,0.2101237953666926,116189.20839334108,4,1.3986013986013985,qwen_qlora,AAPL,22,30
0.32780749228118916,0.6481371519884696,1.8752223905343126,0.12117156320592641,13,0.2701351329688612,132780.74922811892,3,0.6993006993006993,qwen_qlora,AMZN,22,30
0.286746062900696,0.5593816940002014,1.5236819672526687,0.16740504121539437,54,0.3014086872905889,128674.6062900696,3,0.6993006993006993,qwen_qlora,CRM,13,30
-0.019228057261657668,-0.03363571702975943,-0.187602461940685,0.1225961904941895,45,0.21622168870235345,98077.19427383423,2,0.0,qwen_qlora,MSFT,20,30
0.5836416617655565,1.2482415055440446,2.7872604154832903,0.11544518122197744,21,0.29566394342128693,158364.16617655565,5,2.097902097902098,qwen_qlora,NFLX,30,30
0.09564724282867436,0.17465219352554162,0.7045821534231013,0.14021791983217832,15,0.22070980956176034,109564.72428286744,2,0.6993006993006993,qwen_qalora,AAPL,22,30
0.27362085187072765,0.5314602815886462,1.5725430451134612,0.1212187034503187,13,0.2764789431853533,127362.08518707276,2,0.6993006993006993,qwen_qalora,AMZN,22,30
0.17568933669174205,0.3300630772127233,1.013464752715391,0.1675583034108711,54,0.29373055637325923,117568.9336691742,14,4.195804195804196,qwen_qalora,CRM,15,30
-0.01744021377014142,-0.030529238109583967,-0.1734366558297674,0.1223995234297282,45,0.21584901249420746,98255.97862298586,2,0.6993006993006993,qwen_qalora,MSFT,19,30
0.6004051346688842,1.2903492162527317,2.8464564664053573,0.11545076629512457,21,0.29610110419370445,160040.51346688843,3,1.3986013986013985,qwen_qalora,NFLX,28,30
0.09570684216339126,0.17476479743334594,0.7050518969644741,0.14021083362565073,15,0.2206936889161337,109570.68421633913,2,0.6993006993006993,no_nlp,AAPL,23,30
0.27394457553955087,0.5321463171080805,1.5745484553889848,0.12119142488253087,13,0.276397516623115,127394.45755395509,2,0.6993006993006993,no_nlp,AMZN,22,30
0.2871386364785768,0.5602201796738284,1.5258621454981882,0.1673623271213941,54,0.3013125318567742,128713.86364785768,3,0.6993006993006993,no_nlp,CRM,14,30
-0.019994275900878856,-0.03496574482171455,-0.19364943417933853,0.12268066998008617,45,0.2163904440164177,98000.57240991211,2,0.0,no_nlp,MSFT,17,30
0.6089196338146212,1.3118658688511964,2.871395487152483,0.11548100597116122,21,0.29687584641510995,160891.96338146212,2,0.6993006993006993,no_nlp,NFLX,27,30
